رقم,موضوع,أ0,أ 1,أ 2,أ 3,أ 4,أ 5
1,شدة الألم,يمكنني تحمل الألم الذي أشعر به دون الحاجة إلى استخدام مسكنات الألم,الألم سيء ولكني أتمكن من ذلك دون تناول مسكنات الألم,مسكنات الألم تعطي راحة كاملة من الألم,مسكنات الألم تعطي راحة معتدلة من الألم,مسكنات الألم تعطي القليل جدا من الراحة من الألم,مسكنات الألم ليس لها تأثير على الألم ولا أستخدمها
2,العناية الشخصية (مثل الغسيل وارتداء الملابس),يمكنني الاعتناء بشكل طبيعي دون التسبب في ألم إضافي,يمكنني الاعتناء بشكل طبيعي ولكنه يسبب ألما إضافيا,من المؤلم أن أعتني وأنا بطيء وحذر,أحتاج إلى بعض المساعدة ولكن أدير معظم رعايتي الشخصية,أحتاج إلى مساعدة كل يوم في معظم جوانب الرعاية الذاتية,لا أرتدي ملابسي ، كنت بصعوبة وأبقى في السرير
3,رفع,يمكنني رفع الأوزان الثقيلة دون ألم إضافي,يمكنني رفع الأوزان الثقيلة لكنها تسبب ألما إضافيا,يمنعني الألم من رفع الأوزان الثقيلة عن الأرض ، لكن يمكنني إدارتها إذا تم وضعها بشكل مناسب ، أي على طاولة,يمنعني الألم من رفع الأوزان الثقيلة ، لكن يمكنني إدارة الأوزان الخفيفة إلى المتوسطة إذا تم وضعها بشكل مناسب,يمكنني رفع أوزان خفيفة جدا,لا أستطيع رفع أو حمل أي شيء على الإطلاق
4,المشي,الألم لا يمنعني من المشي لمسافة,الألم يمنعني من المشي أكثر من ميل واحد,الألم يمنعني من المشي أكثر من 1/2 ميل,الألم يمنعني من المشي أكثر من 1/4 ميل,لا أستطيع المشي إلا باستخدام عصا أو عكازات,أنا في السرير معظم الوقت ويجب أن أزحف إلى المرحاض
5,جالس,يمكنني الجلوس على أي كرسي طالما أحب,يمكنني الجلوس على مقعدي المفضل فقط طالما أحب,الألم يمنعني من الجلوس أكثر من ساعة,الألم يمنعني من الجلوس أكثر من 1/2 ساعة,الألم يمنعني من الجلوس أكثر من 10 دقائق,الألم يمنعني من الجلوس على الإطلاق
6,واقف,يمكنني الوقوف طالما أريد دون ألم إضافي,يمكنني الوقوف طالما أريد ولكن هذا يعطيني ألما إضافيا,الألم يمنعني من الوقوف لأكثر من ساعة,الألم يمنعني من الوقوف لأكثر من 30 دقيقة,الألم يمنعني من الوقوف لأكثر من 10 دقائق,الألم يمنعني من الوقوف على الإطلاق
7,النوم,الألم لا يمنعني من النوم جيدا,لا يمكنني النوم جيدا إلا باستخدام الدواء,حتى عندما أتناول الدواء ، أنام أقل من 6 ساعات,حتى عندما أتناول الدواء ، أنام أقل من 4 ساعات,حتى عندما أتناول الدواء ، لدي أقل من 2 ساعة من النوم,الألم يمنعني من النوم على الإطلاق
8,الحياة الاجتماعية,حياتي الاجتماعية طبيعية ولا تسبب لي أي ألم إضافي,حياتي الاجتماعية طبيعية ولكنها تزيد من درجة الألم,ليس للألم تأثير كبير على حياتي الاجتماعية بصرف النظر عن الحد من اهتماماتي الأكثر نشاطا ، مثل الرقص ، إلخ.,لقد قيد الألم حياتي الاجتماعية ولا أخرج كثيرا,الألم حصر حياتي الاجتماعية في منزلي,ليس لدي حياة اجتماعية بسبب الألم
9,السفر,يمكنني السفر إلى أي مكان دون ألم إضافي,يمكنني السفر إلى أي مكان ولكنه يسبب لي ألما إضافيا,الألم سيء ، لكنني أدير الرحلات التي تزيد عن 2 ساعة,الألم يقيدني في رحلات أقل من 1 ساعة,الألم يقيدني في الرحلات القصيرة الضرورية في أقل من 30 دقيقة,الألم يمنعني من السفر إلا للطبيب أو المستشفى
10,التوظيف / التدبير المنزلي,أنشطتي المنزلية / الوظيفية العادية لا تسبب الألم.,تزيد أنشطتي المنزلية / الوظيفية العادية من ألمي ، لكن لا يزال بإمكاني أداء كل ما هو مطلوب مني,يمكنني أداء معظم واجبات التدبير المنزلي / الوظيفة ، لكن الألم يمنعني من أداء أنشطة أكثر إرهاقا جسديا (مثل الرفع والمكنسة الكهربائية),الألم يمنعني من القيام بأي شيء سوى الواجبات الخفيفة.,الألم يمنعني من القيام حتى بواجبات خفيفة.,الألم يمنعني من أداء أي وظيفة أو الأعمال المنزلية.
